date,watch_time_minutes,views,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr (%),estimated_partner_revenue (USD),Facebook_Intro_Post,Facebook_Video_post,FB_Likes
10/18/2018,23.5967,9,0,146,1.37,0,,,
10/19/2018,38.049,24,0,177,8.47,0,,,
10/20/2018,46.5309,19,0,198,8.08,0,,,
10/21/2018,27.0954,17,0,183,7.65,0,,,
10/22/2018,22.0638,16,0,143,4.9,0,,,
10/23/2018,19.8656,13,0,139,7.19,0,,,
10/24/2018,30.347,15,0,152,5.26,0,,,
10/25/2018,39.146,15,0,147,5.44,0,,,
10/26/2018,21.8245,12,0,146,6.16,0,,,
10/27/2018,33.431,24,1,200,8,0,,,
10/28/2018,58.8713,26,0,183,8.2,0,,,
10/29/2018,23.8664,20,0,186,5.91,0,,,
10/30/2018,40.9223,19,0,177,7.34,0,,,
10/31/2018,19.5519,13,0,134,6.72,0,,,
11/1/2018,50.9772,24,0,160,13.13,0,,,
11/2/2018,31.0218,17,1,145,8.97,0,,,
11/3/2018,25.0447,14,0,131,7.63,0,,,
11/4/2018,42.3718,23,2,230,6.52,0,,,
11/5/2018,16.6512,16,1,222,4.5,0,,,
11/6/2018,30.8877,14,0,139,6.47,0,,,
11/7/2018,22.0961,14,1,208,2.88,0,,,
11/8/2018,31.806,18,0,177,8.47,0,,,
11/9/2018,21.8137,10,0,136,3.68,0,,,
11/10/2018,30.9306,13,0,128,7.81,0,,,
11/11/2018,48.0295,25,1,229,7.86,0,,,
11/12/2018,53.1288,21,0,149,6.04,0,,,
11/13/2018,87.0452,33,0,238,5.88,0,,,
11/14/2018,87.6012,45,0,199,7.54,0,,,
11/15/2018,67.014,20,1,144,4.86,0,,,
11/16/2018,38.1506,14,0,100,6,0,,,
11/17/2018,15.0436,11,0,127,4.72,0,,,
11/18/2018,51.5992,27,0,150,10.67,0,,,
11/19/2018,40.9379,27,0,1003,1.6,0,,,
11/20/2018,29.279,16,0,776,0.9,0,,,
11/21/2018,49.4434,14,0,107,8.41,0,,,
11/22/2018,9.6725,8,0,105,2.86,0,,,
11/23/2018,26.6747,11,0,94,6.38,0,,,
11/24/2018,7.8121,5,0,114,3.51,0,,,
11/25/2018,25.0357,11,0,136,4.41,0,,,
11/26/2018,45.6894,15,1,112,7.14,0,,,
11/27/2018,28.9734,16,0,115,5.22,0,,,
11/28/2018,21.1477,13,0,125,5.6,0,,,
11/29/2018,13.9676,10,0,147,6.12,0,,,
11/30/2018,39.6627,8,0,82,3.66,0,,,
12/1/2018,52.3223,20,0,118,9.32,0,,,
12/2/2018,31.4534,12,0,83,8.43,0,,,
12/3/2018,27.2418,10,0,125,6.4,0,,,
12/4/2018,23.8622,13,0,124,8.06,0,,,
12/5/2018,23.3393,11,0,101,5.94,0,,,
12/6/2018,4.0627,4,0,128,3.13,0,,,
12/7/2018,7.3448,6,0,79,6.33,0,,,
12/8/2018,23.3014,11,0,78,8.97,0,,,
12/9/2018,20.2498,13,1,95,9.47,0,,,
12/10/2018,28.5869,20,0,97,7.22,0,,,
12/11/2018,67.1603,31,0,164,9.15,0,,,
12/12/2018,30.0177,11,0,64,3.13,0,,,
12/13/2018,22.4754,13,0,110,7.27,0,,,
12/14/2018,17.9892,8,0,113,4.42,0,,,
12/15/2018,28.0385,13,0,104,8.65,0,,,
12/16/2018,33.3574,13,0,134,8.96,0,,,
12/17/2018,37.6221,13,0,116,6.03,0,,,
12/18/2018,22.2156,17,0,143,9.09,0,,,
12/19/2018,33.1072,14,0,127,9.45,0,,,
12/20/2018,32.7348,11,0,103,3.88,0,,,
12/21/2018,21.0414,10,0,93,5.38,0,,,
12/22/2018,35.5923,19,0,137,4.38,0,,,
12/23/2018,30.8371,20,0,169,4.73,0,,,
12/24/2018,36.619,21,0,109,7.34,0,,,
12/25/2018,33.108,26,1,98,8.16,0,,,
12/26/2018,12.1926,6,0,90,3.33,0,,,
12/27/2018,25.747,17,0,144,7.64,0,,,
12/28/2018,25.8814,11,0,107,6.54,0,,,
12/29/2018,24.8756,18,0,137,5.11,0,,,
12/30/2018,16.0911,8,0,110,5.45,0,,,
12/31/2018,11.353,17,0,106,6.6,0,,,
1/1/2019,30.7728,15,0,149,6.71,0,,,
1/2/2019,27.7759,14,0,170,4.12,0,,,
1/3/2019,52.5824,28,0,193,11.92,0,,,
1/4/2019,23.7317,19,0,165,6.06,0,,,
1/5/2019,45.1421,24,0,125,8,0,,,
1/6/2019,65.7274,35,0,261,8.81,0,,,
1/7/2019,38.8584,19,0,124,7.26,0,,,
1/8/2019,31.0904,18,0,140,10,0,,,
1/9/2019,37.291,19,0,109,7.34,0,,,
1/10/2019,34.7264,16,0,137,6.57,0,,,
1/11/2019,22.2964,11,0,113,7.08,0,,,
1/12/2019,20.8334,11,1,102,6.86,0,,,
1/13/2019,48.5907,18,0,150,6.67,0,,,
1/14/2019,22.0553,11,1,133,4.51,0,,,
1/15/2019,22.65,13,0,179,3.35,0,,,
1/16/2019,21.8344,11,0,101,8.91,0,,,
1/17/2019,67.6794,19,2,165,7.27,0,,,
1/18/2019,23.9305,14,0,121,7.44,0,,,
1/19/2019,35.6786,18,0,106,8.49,0,,,
1/20/2019,18.6597,13,0,83,6.02,0,,,
1/21/2019,4.4469,7,0,105,1.9,0,,,
1/22/2019,7.1714,6,0,109,2.75,0,,,
1/23/2019,25.5095,11,0,82,7.32,0,,,
1/24/2019,13.3142,5,0,70,7.14,0,,,
1/25/2019,27.1222,15,0,112,10.71,0,,,
1/26/2019,54.4096,28,0,170,11.76,0,,,
1/27/2019,71.3896,27,0,181,10.5,0,,,
1/28/2019,39.9393,21,1,152,7.24,0,,,
1/29/2019,40.2246,24,0,138,9.42,0,,,
1/30/2019,56.2319,26,0,135,6.67,0,,,
1/31/2019,90.4155,33,2,190,12.11,0,,,
2/1/2019,17.3206,13,0,97,6.19,0,,,
2/2/2019,83.2378,33,0,124,12.1,0,,,
2/3/2019,15.1148,11,0,154,3.9,0,,,
2/4/2019,55.65,25,1,170,7.65,0,,,
2/5/2019,52.7636,22,0,211,6.64,0,,,
2/6/2019,42.5206,21,0,134,11.19,0,,,
2/7/2019,31.7759,17,1,164,7.93,0,,,
2/8/2019,19.9598,8,0,103,4.85,0,,,
2/9/2019,51.4797,20,0,144,6.25,0,,,
2/10/2019,36.6219,18,0,144,5.56,0,,,
2/11/2019,19.0095,11,0,105,6.67,0,,,
2/12/2019,17.718,6,1,134,3.73,0,,,
2/13/2019,37.8473,16,0,127,6.3,0,,,
2/14/2019,19.1937,16,0,105,9.52,0,,,
2/15/2019,22.2955,13,0,103,8.74,0,,,
2/16/2019,29.8982,16,0,168,9.52,0,,,
2/17/2019,44.63,18,0,178,6.74,0,,,
2/18/2019,67.882,25,0,399,4.51,0,,,
2/19/2019,58.5621,26,0,626,3.04,0,,,
2/20/2019,34.3714,17,1,112,7.14,0,,,
2/21/2019,57.3795,22,1,257,5.06,0,,,
2/22/2019,26.1958,13,1,263,3.42,0,,,
2/23/2019,21.3302,11,0,536,1.31,0,,,
