date,watch_time_minutes,views,average_view_duration,average_percentage_viewed (%),subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr (%),estimated_unique_viewers,subscribers_gained,likes,shares,comments,card_clicks,cards_shown,clicks_per_card_shown (%),card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown (%),end_screen_element_clicks,end_screen_elements_shown,clicks_per_end_screen_element_shown (%)
10/18/2018,23.5967,9,2.6219,46.77,0,146,1.37,9,0,0,0,0,0,0,,0,0,,0,0,
10/19/2018,38.049,24,1.5854,30.59,0,177,8.47,20,0,0,0,0,0,0,,0,0,,0,0,
10/20/2018,46.5309,19,2.449,45.49,0,198,8.08,17,0,-1,2,0,0,0,,0,0,,0,0,
10/21/2018,27.0954,17,1.5938,30.75,0,183,7.65,16,0,0,0,0,0,0,,0,0,,0,0,
10/22/2018,22.0638,16,1.379,26.6,0,143,4.9,15,0,0,0,0,0,0,,0,0,,0,0,
10/23/2018,19.8656,13,1.5281,29.48,0,139,7.19,13,0,0,0,0,0,0,,0,0,,0,0,
10/24/2018,30.347,15,2.0231,39.03,0,152,5.26,12,0,2,0,0,0,0,,0,0,,0,0,
10/25/2018,39.146,15,2.6097,48,0,147,5.44,13,0,0,0,0,0,0,,0,0,,0,0,
10/26/2018,21.8245,12,1.8187,35.09,0,146,6.16,10,0,0,0,0,0,0,,0,0,,0,0,
10/27/2018,33.431,24,1.393,26.87,1,200,8,20,1,1,0,0,0,0,,0,0,,0,0,
10/28/2018,58.8713,26,2.2643,43.68,0,183,8.2,22,0,1,1,0,0,0,,0,0,,0,0,
10/29/2018,23.8664,20,1.1933,23.02,0,186,5.91,17,0,3,0,1,0,0,,0,0,,0,0,
10/30/2018,40.9223,19,2.1538,41.55,0,177,7.34,18,0,0,0,0,0,0,,0,0,,0,0,
10/31/2018,19.5519,13,1.504,29.02,0,134,6.72,12,0,0,0,0,0,0,,0,0,,0,0,
11/1/2018,50.9772,24,2.124,33.07,0,160,13.13,16,0,1,0,0,0,0,,0,0,,0,0,
11/2/2018,31.0218,17,1.8248,33.75,1,145,8.97,16,1,1,0,1,0,0,,0,0,,0,0,
11/3/2018,25.0447,14,1.7889,34.51,0,131,7.63,14,0,1,0,0,0,0,,0,0,,0,0,
11/4/2018,42.3718,23,1.8422,31.67,2,230,6.52,21,2,1,0,0,0,0,,0,0,,0,0,
11/5/2018,16.6512,16,1.0407,20.08,1,222,4.5,10,1,0,1,1,0,0,,0,0,,0,0,
11/6/2018,30.8877,14,2.2063,42.56,0,139,6.47,14,0,0,0,0,0,0,,0,0,,0,0,
11/7/2018,22.0961,14,1.5783,30.45,1,208,2.88,10,1,1,1,0,0,0,,0,0,,0,0,
11/8/2018,31.806,18,1.767,32.76,0,177,8.47,16,0,1,1,0,0,0,,0,0,,0,0,
11/9/2018,21.8137,10,2.1814,39.21,0,136,3.68,10,0,0,0,0,0,0,,0,0,,0,0,
11/10/2018,30.9306,13,2.3793,43.45,0,128,7.81,12,0,0,0,0,0,0,,0,0,,0,0,
11/11/2018,48.0295,25,1.9212,29.02,1,229,7.86,19,1,0,1,0,0,0,,0,0,,0,0,
11/12/2018,53.1288,21,2.5299,31.17,0,149,6.04,16,0,1,0,0,0,0,,0,0,,0,0,
11/13/2018,87.0452,33,2.6377,34.2,0,238,5.88,27,0,1,1,0,0,0,,0,0,,0,0,
11/14/2018,87.6012,45,1.9467,23.24,0,199,7.54,37,0,0,0,0,0,0,,0,0,,0,6,0
11/15/2018,67.014,20,3.3507,51.47,1,144,4.86,17,1,0,0,0,0,0,,0,0,,0,33,0
11/16/2018,38.1506,14,2.725,45.35,0,100,6,13,0,0,0,0,0,0,,0,0,,0,12,0
11/17/2018,15.0436,11,1.3676,26.38,0,127,4.72,10,0,0,0,0,0,0,,0,0,,0,6,0
11/18/2018,51.5992,27,1.9111,32.7,0,150,10.67,24,0,0,0,0,0,0,,0,0,,0,27,0
11/19/2018,40.9379,27,1.5162,19.68,1,1003,1.6,17,1,3,0,0,0,0,,0,0,,0,18,0
11/20/2018,29.279,16,1.8299,28.94,0,776,0.9,13,0,0,0,0,0,0,,0,0,,1,21,4.76
11/21/2018,49.4434,14,3.5317,54.67,0,107,8.41,13,0,1,0,0,0,0,,0,0,,0,12,0
11/22/2018,9.6725,8,1.2091,21.23,1,105,2.86,7,1,0,0,0,0,0,,0,0,,0,3,0
11/23/2018,26.6747,11,2.425,37.94,0,94,6.38,9,0,0,0,0,0,0,,0,0,,0,3,0
11/24/2018,7.8121,5,1.5624,30.14,0,114,3.51,5,0,0,0,0,0,0,,0,0,,0,3,0
11/25/2018,25.0357,11,2.276,37.96,0,136,4.41,11,0,0,0,0,0,0,,0,0,,0,18,0
11/26/2018,45.6894,15,3.046,48.09,1,112,7.14,11,1,0,0,0,0,0,,0,0,,0,15,0
