video,video_title,Date_Published,watch_time_minutes,views,average_view_duration,average_percentage_viewed (%),subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr (%),estimated_unique_viewers,subscribers_gained,likes,shares,comments,card_clicks,cards_shown,clicks_per_card_shown (%),card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown (%),end_screen_element_clicks,end_screen_elements_shown,clicks_per_end_screen_element_shown (%)
yukdXV9LR48,The Projects You Should Do To Get A Data Science Job,7/29/2019,10648.2495,3249,3.2774,25.54,94,20703,8.4,,96,142,27,12,19,51,37.25,37,412,8.98,19,801,2.37
4CpmB4TR2C4,Work From Home Data Scientist: Day in the Life,4/12/2019,10063.2915,4020,2.5033,45.38,81,35951,8.35,,82,95,5,11,0,0,,0,0,,131,3080,4.25
T77uVbLhroQ,How I Got My First Data Science Internship (And How You Can Land One),6/20/2019,7185.0999,1847,3.8901,36.87,76,15485,7.73,,78,99,6,12,0,0,,0,0,,23,848,2.71
qfRhKHV8-t4,Predicting Crypto-Currency Price Using RNN lSTM & GRU,11/18/2017,5926.1778,3241,1.8285,35.28,26,34888,5.7,,26,58,21,6,0,0,,0,0,,26,3032,0.86
zF_Q2v_9zKY,Scrape Twitter Data in Python with Twitterscraper Module,4/18/2019,4758.1511,1871,2.5431,40.37,28,11791,7.41,,28,44,20,25,16,22,72.73,20,513,3.9,24,1745,1.38
IFceyuL6GZY,HOW I BECAME A DATA SCIENTIST FROM A BUSINESS BACKGROUND!,11/11/2018,2509.684,677,3.7071,35.93,12,6888,5.56,,12,19,6,3,0,0,,0,0,,7,327,2.14
irjTWNV0eAY,How to Simulate NBA Games in Python,11/19/2018,2427.5817,1012,2.3988,25.89,21,12776,4.77,,21,26,10,2,0,0,,0,0,,6,551,1.09
pWVQ0vN5uig,How To Get Data Science Experience (Without a Job),8/7/2019,2417.6967,941,2.5693,31.14,41,5416,6.72,,41,57,10,14,21,96,21.88,52,479,10.86,7,392,1.79
Z9dGmL2G-4k,Data Science Fundamentals: Data Exploration in Python (Pandas),7/5/2019,1765.6113,406,4.3488,22.81,6,3520,5.28,,7,23,1,3,0,0,,0,0,,7,132,5.3
4yI3vVe0Jos,Data Science Fundamentals: Data Cleaning in Python,8/11/2019,1426.9541,392,3.6402,10.48,9,4113,5.66,,9,20,10,6,1,10,10,5,153,3.27,4,52,7.69
XWetgrNas-k,The Type of Work You Do as a Data Scientist,7/18/2019,1342.8956,463,2.9004,44.97,11,3788,5.36,,11,22,5,2,3,19,15.79,17,162,10.49,13,304,4.28
yIJrCFXs0rU,Data Science Fundamentals: Data Manipulation in Python (Pandas),7/13/2019,1326.5517,327,4.0567,9.4,4,3909,4.43,,4,15,4,4,0,4,0,4,114,3.51,0,12,0
3Mm1U1CbzNw,Is Data Science Right For You?,8/18/2019,1249.5214,392,3.1875,48.79,5,2781,6.51,,5,24,4,5,0,0,,0,0,,3,287,1.05
RRSRKf9eQxc,Should You Get A Masters in Data Science?,11/13/2019,1104.5738,459,2.4065,42.85,3,4559,7.08,,3,10,1,1,0,0,,0,0,,3,299,1
1Cf7SdnBncg,My Top 5 Data Science Internship Tips,6/15/2019,1053.5249,336,3.1355,39.03,9,4216,5.15,,9,20,1,2,0,0,,0,0,,7,220,3.18
Z_KFh-HqaBA,I Wish I Had Known This Before Starting in Data Science,5/13/2019,1030.9256,260,3.9651,44.22,8,2495,5.69,,8,26,0,2,0,0,,0,0,,5,145,3.45
tv1e22u2COk,My Top 5 Data Science Resources for 2019,1/5/2019,1005.1024,537,1.8717,31.99,8,6615,5.65,,8,20,4,4,7,8,87.5,7,187,3.74,4,209,1.91
akbU9KOo_Qc,How to Stay Productive & Motivated When Learning Data Science,9/28/2019,1003.4931,279,3.5968,32.11,2,1858,5.38,,4,23,9,3,0,0,,0,0,,4,137,2.92
T7BQJJIGrmc,Data Science: Pros and Cons,6/30/2019,923.7166,292,3.1634,42.94,3,3086,5.8,,3,20,0,1,0,0,,0,0,,11,191,5.76
RRXWJVX0fE8,6 Habits of Successful Data Scientists,9/12/2019,879.859,469,1.876,32.25,9,1952,6.4,,12,27,5,3,2,10,20,6,186,3.23,2,203,0.99
AxP1CL0yaFQ,Should You Learn R for Data Science?,4/25/2019,878.6543,410,2.1431,51.85,4,4383,6.53,,4,19,1,4,0,0,,0,0,,4,355,1.13
_CS4u9cORwA,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,3/9/2019,874.4728,324,2.699,35.91,6,4418,3.96,,7,25,1,3,0,0,,0,0,,0,0,
sq5TnVJWv6A,Where To Start With Data Science Projects,2/18/2019,731.1888,343,2.1317,27.39,7,8233,2.08,,7,14,2,1,0,0,,0,0,,1,148,0.68
sCOX5yShmFA,The Best Way to Predict NBA Minutes Played,12/10/2018,691.621,228,3.0334,31.43,1,2757,3.95,,1,13,1,3,0,0,,0,0,,2,161,1.24
6sJEnzDjJqI,Where to Look for Data Science Jobs,3/29/2019,676.4456,298,2.27,37.21,5,3866,5.77,,5,7,2,2,4,7,57.14,4,44,9.09,2,141,1.42
